rank,h_m,r_m,rel_az_deg,cam_c_az_deg,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tag_visibility_ratio,longest_blind_gap_s,tilt_deg,n_subjects
41,3.0,3.5,150.0,90.0,0.7781936686374674,True,ok,False,0.7719360389432894,0.9505350254901304,0.673728813559322,61.0515129902079,96.99172578437617,74.21996820193262,2.0,5201.993777281054,1.0,67.96855104042366,94.34194717549441,64.94238458169698,44.62132136407959,1.0,0.0,29.74488129694222,1
42,3.5,4.0,150.0,60.0,0.7737988031717352,True,ok,False,0.7581907424276242,0.9375002106370736,0.6906779661016949,63.52566636302767,109.37479989478011,87.78399921761141,2.0,4613.316655073619,1.0,67.25656822793341,93.2598224733095,44.20792594301601,64.30195626747476,1.0,0.0,32.005383208083494,1
43,4.0,4.5,180.0,285.0,0.7701421908957817,True,ok,False,0.7852772443482552,0.9659076741167449,0.614406779661017,58.65009601731407,82.38770958909227,59.81366645932162,5.0,3499.1567394755716,1.0,74.53221675547321,96.73292132685961,54.129091840716214,72.73463709884386,0.9210526315789473,0.35278948640401386,33.690067525979785,1
44,3.0,4.5,180.0,75.0,0.7690708571897633,True,ok,False,0.7636376813151563,0.9447346589321123,0.6610169491525424,62.54521736327187,102.50207401449337,78.76747351331888,2.0,5473.15599699099,1.0,85.36699980932042,112.61986494804043,60.86462762810064,82.61650685182016,0.9568965517241379,0.34694577507350755,23.962488974578182,1
45,4.0,4.0,180.0,270.0,0.7657065154436736,True,ok,False,0.7573090222795824,0.9564464621973783,0.6525423728813559,63.684375989675175,91.37586091249071,69.09231735992405,4.0,3137.7718528686873,1.0,70.00000000000001,90.0,60.00000000000002,60.00000000000001,1.0,0.0,36.86989764584402,1
46,2.5,3.5,150.0,90.0,0.7642070880585068,True,ok,False,0.8138601260943565,0.9601139386159646,0.5508474576271186,53.505177303015806,87.89175831483367,66.5011458049066,4.0,7112.236118865206,1.0,73.96626236638936,103.6276663859337,70.25480189943846,48.016318813795905,1.0,0.0,23.198590513648185,1
47,4.0,4.5,180.0,255.0,0.7602866788280145,True,ok,False,0.7719240420031974,0.9627249840473333,0.6059322033898304,61.05367243942447,85.41126515503335,63.5160907030094,4.0,4850.972923056906,1.0,74.53221675547323,96.73292132685961,72.73463709884386,54.12909184071621,0.9739130434782609,0.1748595865149247,33.690067525979785,1
48,3.5,4.0,180.0,90.0,0.7553816958024977,True,ok,False,0.7426705466994611,0.9541304173485816,0.6440677966101694,66.31930159409701,93.57610351884745,69.13217440778914,2.0,6574.305028537491,1.0,75.41068740117676,97.62814966858072,64.30195626747476,64.30195626747476,1.0,0.0,32.005383208083494,1
49,3.5,4.0,150.0,210.0,0.7499167917870713,True,ok,False,0.7486865661522002,0.9626133062667203,0.6101694915254238,65.23641809260396,85.51735904661571,56.78447506379553,3.0,6031.521739182399,1.0,76.90919029654499,93.2598224733095,93.2598224733095,44.20792594301601,0.9824561403508771,0.17561016884525266,32.005383208083494,1
50,4.0,4.0,180.0,105.0,0.7417986120111204,True,ok,False,0.7225323786863689,0.955628215034595,0.6313559322033898,69.94417183645359,92.15319571713475,64.6800062184574,2.0,7007.953493462727,1.0,69.7471300784372,90.0,68.2479618399894,50.993428395322205,0.9565217391304348,0.6991379302844667,36.86989764584402,1
