rank,h_m,r_m,rel_az_deg,cam_c_h_m,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tilt_deg,n_subjects
23,4.0,4.0,180.0,7.0,0.8372750296550158,True,ok,True,0.8012927052384982,0.969908091061186,0.8088235294117647,55.767313057070325,78.5873134918733,59.9673437355165,8.0,1579.0344736379002,1.0,60.0,90.0,45.0,45.0,36.86989764584402,1
24,3.5,4.5,180.0,7.0,0.8367532873344368,True,ok,False,0.774503409864288,0.9428860632719684,0.8697478991596638,60.589386224428154,104.25823989162997,89.88339229480897,5.0,8399.190311486516,1.0,69.50002179853574,104.2500326978036,52.1250163489018,52.1250163489018,29.054604099077146,1
25,3.0,4.5,150.0,7.0,0.8350011729819977,True,ok,False,0.8306225352944425,0.9482394426402688,0.7668067226890757,50.487943647000336,99.17252949174468,84.2811319930625,9.0,2241.179442940889,1.0,73.19647780794178,106.9695684757849,56.309932474020215,56.309932474020215,23.962488974578182,1
26,4.0,4.0,180.0,5.0,0.8326489544465578,True,ok,False,0.779880211177648,0.9593425636164,0.8361344537815126,59.621561988023345,88.62456456441994,70.51130794959127,7.0,3308.031006562662,1.0,60.0,90.0,45.00000000000001,45.00000000000001,36.86989764584402,1
27,4.0,4.5,180.0,5.0,0.8259557117178185,True,ok,False,0.7853559553256518,0.9626071576699201,0.8025210084033614,58.635928041382655,85.52320021357592,65.42985876765196,7.0,4988.10587924581,1.0,64.4886142179064,96.73292132685961,48.366460663429805,48.366460663429805,33.690067525979785,1
28,2.5,3.5,150.0,6.5,0.8255191611982282,True,ok,False,0.8228889357866717,0.9453734665244619,0.75,51.879991558399105,101.8952068017612,86.82895423591935,9.0,3062.140111989826,1.0,70.85077026732831,103.6276663859337,54.46232220802562,54.46232220802562,23.198590513648185,1
29,4.0,4.5,180.0,7.0,0.8226648844941802,True,ok,False,0.7314945076039004,0.9453024391754351,0.8928571428571429,68.33098863129791,101.96268278333658,82.2772495009542,4.0,8832.576620206471,1.0,64.4886142179064,96.73292132685961,48.3664606634298,48.3664606634298,33.690067525979785,1
30,3.0,4.0,150.0,4.0,0.8216573417761346,True,ok,False,0.8040043019773049,0.9480658699037973,0.7668067226890757,55.27922564408513,99.33742359139262,83.59476349641174,8.0,4405.39973236769,1.0,69.15382809012245,101.20127956205536,53.13010235415599,53.13010235415599,26.56505117707799,1
31,3.5,4.5,150.0,6.0,0.8205591874784964,True,ok,False,0.8156548464809477,0.9512638632069196,0.7415966386554622,53.18212763342942,96.29932995342644,80.49681118204515,11.0,2749.5571023802504,1.0,67.87078905973043,99.36233448138768,52.1250163489018,52.1250163489018,29.054604099077146,1
32,3.0,3.5,180.0,5.0,0.8204710764017836,True,ok,False,0.7738119229916223,0.9514390199080136,0.8109243697478992,60.71385386150799,96.1329310873871,76.77845390119921,6.0,9582.165744128915,1.0,65.86494047332737,98.79741070999107,49.39870535499553,49.39870535499553,29.74488129694222,1
33,3.5,4.0,150.0,6.5,0.8168785919271873,True,ok,False,0.7327242360101038,0.9385067393585761,0.8760504201680672,68.1096375181813,108.41859760935266,87.73696579056136,4.0,10621.591178123002,1.0,63.629324047296734,93.2598224733095,48.81407483429036,48.81407483429036,32.005383208083494,1
34,3.0,4.5,150.0,6.5,0.8106958189716181,True,ok,False,0.8005268414435412,0.9523720752828506,0.7331932773109244,55.90516854016257,95.24652848129185,75.28447179544737,9.0,4092.2321826758657,1.0,73.19647780794178,106.9695684757849,56.30993247402022,56.30993247402022,23.962488974578182,1
35,3.5,4.0,180.0,7.0,0.8090872546849849,True,ok,False,0.7834075486109264,0.9556148808892053,0.7542016806722689,58.986641250033244,92.1658631552549,75.95830140036645,8.0,4637.8054229587815,1.0,65.08543311238715,97.62814966858072,48.81407483429036,48.81407483429036,32.005383208083494,1
36,4.5,5.0,180.0,6.0,0.8045753057862058,True,ok,False,0.7677596511454299,0.9564185775380432,0.7647058823529411,61.80326279382264,91.40235133885908,73.16365778516841,8.0,4453.031299060762,1.0,64.01705000557779,96.02557500836669,48.01278750418334,48.01278750418334,34.99202019855866,1
37,3.0,3.5,180.0,3.5,0.804430728237602,True,ok,False,0.7605570662611157,0.9453408074679935,0.7836134453781514,63.09972807299918,101.92623290540605,83.82904751534195,7.0,7876.382203952144,1.0,65.86494047332738,98.79741070999107,49.398705354995535,49.398705354995535,29.74488129694222,1
38,3.0,4.0,180.0,3.5,0.803496891802045,True,ok,False,0.7925939575311856,0.9582684727452863,0.7184873949579832,57.3330876443866,89.64495089197803,69.60385341147148,9.0,4589.279580371552,1.0,70.84013647220799,106.26020470831197,53.13010235415599,53.13010235415599,26.56505117707799,1
39,3.0,3.5,180.0,5.5,0.8031545930103493,True,ok,False,0.7540441965241134,0.9363347426490257,0.796218487394958,64.27204462565957,110.48199448342551,91.88884833846284,6.0,11469.522234564613,1.0,65.86494047332738,98.79741070999107,49.398705354995535,49.398705354995535,29.74488129694222,1
40,3.0,4.0,180.0,7.0,0.8023699489512012,True,ok,False,0.7786175360477381,0.9497596861492655,0.7436974789915967,59.848843511407146,97.72829815819772,80.79018700184058,8.0,5795.9111749058,1.0,70.84013647220799,106.26020470831197,53.13010235415599,53.13010235415599,26.56505117707799,1
41,4.0,4.0,180.0,3.5,0.8009705043995001,True,ok,False,0.7576795636201309,0.9415359658883495,0.7794117647058824,63.617678548376446,105.54083240606796,87.18146833080522,7.0,8300.158523870203,1.0,60.0,90.0,45.0,45.0,36.86989764584402,1
42,3.0,4.0,150.0,4.5,0.8001653133523499,True,ok,False,0.7830908011300374,0.9433096479702694,0.7331932773109244,59.04365579659328,103.85583442824404,87.58416648149274,8.0,7736.098165107289,1.0,69.15382809012245,101.20127956205536,53.13010235415599,53.13010235415599,26.56505117707799,1
43,3.0,4.5,180.0,5.0,0.7990659706839618,True,ok,False,0.7570587534242533,0.9493216253213601,0.7689075630252101,63.72942438363441,98.14445594470794,79.19658630547994,7.0,9181.215190386632,1.0,75.0799099653603,112.61986494804043,56.30993247402022,56.30993247402022,23.962488974578182,1
44,3.0,4.0,150.0,3.5,0.7982109006954461,True,ok,False,0.748897836368864,0.9276334419668348,0.7941176470588235,65.19838945360449,118.74823013150699,97.67271277180966,6.0,11766.396252152324,1.0,69.15382809012245,101.20127956205536,53.13010235415599,53.13010235415599,26.56505117707799,1
45,3.5,4.5,180.0,4.5,0.7975612190105745,True,ok,False,0.7911338899991883,0.9669041431641456,0.6953781512605042,57.59589980014609,81.44106399406164,60.65440787218524,11.0,4660.459921617673,1.0,69.50002179853574,104.2500326978036,52.1250163489018,52.1250163489018,29.054604099077146,1
46,4.0,4.0,180.0,6.0,0.7974598137816609,True,ok,False,0.7180306650459977,0.9411719861252428,0.8340336134453782,70.75448029172044,105.8866131810193,83.35530004955513,6.0,7286.700067062696,1.0,60.0,90.0,45.00000000000001,45.00000000000001,36.86989764584402,1
47,3.0,3.5,180.0,4.0,0.792040923275265,True,ok,False,0.7106035741921666,0.9357965212320429,0.8319327731092436,72.09135664541002,110.99330482955915,88.25418398678735,5.0,12245.391489395835,1.0,65.86494047332738,98.79741070999107,49.398705354995535,49.398705354995535,29.74488129694222,1
48,3.0,4.0,150.0,6.5,0.7913720527163304,True,ok,False,0.7431999329080783,0.9297427842526328,0.7794117647058824,66.2240120765459,116.74435495999889,98.53605832977652,6.0,12453.031810586324,1.0,69.15382809012245,101.20127956205536,53.13010235415599,53.13010235415599,26.56505117707799,1
