h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops,cam_c_h_m,joint_visibility_cam_c,unique_contribution_cam_c,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg
3.0,4.0,180.0,26.56505117707799,70.84013647220799,center,97.72829815819772,59.848843511407146,80.79018700184058,0.043137254901960784,0.16029411764705884,1.0,1.0,1.0,1.0,1.0,0.0,5795.9111749058,8.0,7.0,1.0,0.0,106.26020470831197,53.13010235415599,53.13010235415599
3.0,3.5,180.0,29.74488129694222,65.86494047332738,center,101.92623290540605,63.09972807299918,83.82904751534195,0.06617283950617284,0.18765432098765433,1.0,1.0,1.0,1.0,1.0,0.0,7876.382203952144,7.0,3.5,1.0,0.0,98.79741070999107,49.398705354995535,49.398705354995535
3.0,3.5,180.0,29.74488129694222,65.86494047332738,center,110.99330482955915,72.09135664541002,88.25418398678735,0.051055473735886106,0.17623956799214532,1.0,1.0,1.0,1.0,1.0,0.0,12245.391489395835,5.0,4.0,1.0,0.0,98.79741070999107,49.398705354995535,49.398705354995535
3.0,3.5,180.0,29.74488129694222,65.86494047332737,center,99.21983214893517,61.02903156778677,80.8389720355123,0.052941176470588235,0.1769607843137255,1.0,1.0,1.0,1.0,1.0,0.0,4577.162367946997,5.0,4.5,1.0,0.0,98.79741070999107,49.39870535499553,49.39870535499553
3.0,3.5,180.0,29.74488129694222,65.86494047332737,center,96.1329310873871,60.71385386150799,76.77845390119921,0.08095676172953081,0.24655013799448022,1.0,1.0,1.0,1.0,1.0,0.0,9582.165744128915,6.0,5.0,1.0,0.0,98.79741070999107,49.39870535499553,49.39870535499553
3.0,3.5,180.0,29.74488129694222,65.86494047332738,center,110.48199448342551,64.27204462565957,91.88884833846284,0.059770114942528735,0.19586206896551725,1.0,1.0,1.0,1.0,1.0,0.0,11469.522234564613,6.0,5.5,1.0,0.0,98.79741070999107,49.398705354995535,49.398705354995535
3.0,3.5,180.0,29.74488129694222,65.86494047332738,center,81.33557096876432,55.92612462207197,59.26132868214935,0.0707482993197279,0.24308390022675738,1.0,1.0,1.0,1.0,1.0,0.0,2526.0779347192147,5.0,6.0,1.0,0.0,98.79741070999107,49.398705354995535,49.398705354995535
3.0,3.5,180.0,29.74488129694222,65.86494047332737,center,109.20412642179187,69.03045658033741,88.67834555386365,0.060294117647058824,0.18774509803921569,1.0,1.0,1.0,1.0,1.0,0.0,10709.912396162807,6.0,6.5,1.0,0.0,98.79741070999107,49.39870535499553,49.39870535499553
3.0,3.5,180.0,29.74488129694222,65.86494047332738,center,100.80076794388584,60.52130495120272,83.53551049230555,0.05931034482758621,0.18666666666666668,1.0,1.0,1.0,1.0,1.0,0.0,6618.192027770533,4.0,7.0,1.0,0.0,98.79741070999107,49.398705354995535,49.398705354995535
4.0,4.0,180.0,36.86989764584402,60.0,center,105.54083240606796,63.617678548376446,87.18146833080522,0.055145248645987195,0.1930083702609552,1.0,1.0,1.0,1.0,1.0,0.0,8300.158523870203,7.0,3.5,1.0,0.0,90.0,45.0,45.0
4.0,4.0,180.0,36.86989764584402,60.0,center,135.71750956350124,102.23921672526187,99.8069440927999,0.057,0.194,1.0,1.0,1.0,1.0,1.0,0.0,47731.90033980832,7.0,4.0,1.0,0.0,90.0,45.00000000000001,45.00000000000001
4.0,4.0,180.0,36.86989764584402,60.0,center,118.05491851970642,80.33691778085746,93.75970640248666,0.07013241785188817,0.20451201569396762,1.0,1.0,1.0,1.0,1.0,0.0,17298.92081256159,6.0,4.5,1.0,0.0,90.0,45.00000000000001,45.00000000000001
4.0,4.0,180.0,36.86989764584402,60.0,center,88.62456456441994,59.621561988023345,70.51130794959127,0.06470588235294118,0.22058823529411764,1.0,1.0,1.0,1.0,1.0,0.0,3308.031006562662,7.0,5.0,1.0,0.0,90.0,45.00000000000001,45.00000000000001
4.0,4.0,180.0,36.86989764584402,60.0,center,117.83827484275463,84.15325257207863,87.68706417763875,0.051775147928994084,0.21794871794871795,1.0,1.0,1.0,1.0,1.0,0.0,14812.33542052431,9.0,5.5,1.0,0.0,90.0,45.00000000000001,45.00000000000001
4.0,4.0,180.0,36.86989764584402,60.0,center,105.8866131810193,70.75448029172044,83.35530004955513,0.05306718597857838,0.17867575462512172,1.0,1.0,1.0,1.0,1.0,0.0,7286.700067062696,6.0,6.0,1.0,0.0,90.0,45.00000000000001,45.00000000000001
4.0,4.0,180.0,36.86989764584402,60.0,center,105.00669312602366,72.73754747833286,81.28561867850857,0.0784698381559588,0.23001471309465424,1.0,1.0,1.0,1.0,1.0,0.0,12213.647937006339,6.0,6.5,1.0,0.0,90.0,45.00000000000001,45.00000000000001
4.0,4.0,180.0,36.86989764584402,60.0,center,78.5873134918733,55.767313057070325,59.9673437355165,0.08514755684567005,0.2714078374455733,1.0,1.0,1.0,1.0,1.0,0.0,1579.0344736379002,8.0,7.0,1.0,0.0,90.0,45.0,45.0
3.5,4.5,150.0,29.054604099077146,67.87078905973043,center,120.57433792577872,73.03694068717643,102.74584548114761,0.04803921568627451,0.1696078431372549,1.0,1.0,1.0,1.0,1.0,0.0,27454.94450056027,5.0,3.5,1.0,0.0,99.36233448138768,52.1250163489018,52.1250163489018
3.5,4.5,150.0,29.054604099077146,67.87078905973043,center,125.12571173383436,79.64431990639545,101.25861953650345,0.03458498023715415,0.15464426877470355,1.0,1.0,1.0,1.0,1.0,0.0,20896.273446308518,8.0,4.0,1.0,0.0,99.36233448138768,52.1250163489018,52.1250163489018
3.5,4.5,150.0,29.054604099077146,67.87078905973043,center,110.94769436848682,76.32034278813995,81.04418542864717,0.053217223028543786,0.18287373004354138,1.0,1.0,1.0,1.0,1.0,0.0,12096.52181854435,8.0,4.5,1.0,0.0,99.36233448138768,52.1250163489018,52.1250163489018
3.5,4.5,150.0,29.054604099077146,67.87078905973043,center,95.65736508963907,54.54868015044129,79.85503160152372,0.04844290657439446,0.1819080573405833,1.0,1.0,1.0,1.0,1.0,0.0,3947.1949612727785,6.0,5.0,1.0,0.0,99.36233448138768,52.1250163489018,52.1250163489018
3.5,4.5,150.0,29.054604099077146,67.87078905973043,center,105.14108858329189,58.19814831134916,87.41429064600861,0.052235057759919636,0.17327975891511804,1.0,1.0,1.0,1.0,1.0,0.0,9010.428862739116,4.0,5.5,1.0,0.0,99.36233448138768,52.1250163489018,52.1250163489018
3.5,4.5,150.0,29.054604099077146,67.87078905973043,center,96.29932995342644,53.18212763342942,80.49681118204515,0.052290836653386456,0.17778884462151395,1.0,1.0,1.0,1.0,1.0,0.0,2749.5571023802504,11.0,6.0,1.0,0.0,99.36233448138768,52.1250163489018,52.1250163489018
3.5,4.5,150.0,29.054604099077146,67.87078905973043,center,94.93272939273615,52.0394428093562,80.47599478318197,0.04671532846715328,0.181021897810219,1.0,1.0,1.0,1.0,1.0,0.0,2767.972979041887,6.0,6.5,1.0,0.0,99.36233448138768,52.1250163489018,52.1250163489018
