h_m,r_m,rel_az_deg,cam_c_az_deg,worst_coverage,mean_coverage,blind_wedge_deg,baseline_worst,baseline_mean,delta_worst
4.0,4.0,180.0,255.0,0.20833333333333334,0.6315104166666669,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,270.0,0.20833333333333334,0.6406250000000001,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,285.0,0.20833333333333334,0.6315104166666669,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,300.0,0.20833333333333334,0.6178385416666666,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,315.0,0.20833333333333334,0.5859374999999996,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,330.0,0.20833333333333334,0.5475260416666667,285.0,0.20833333333333334,0.4609374999999999,0.0
4.0,4.0,180.0,345.0,0.20833333333333334,0.5032552083333334,285.0,0.20833333333333334,0.4609374999999999,0.0
3.5,4.5,150.0,15.0,0.25,0.4947916666666667,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,30.0,0.25,0.5436197916666667,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,45.0,0.2916666666666667,0.5813802083333331,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,60.0,0.2916666666666667,0.6009114583333336,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,75.0,0.2916666666666667,0.6009114583333337,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,90.0,0.2916666666666667,0.600260416666667,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,105.0,0.2916666666666667,0.5735677083333333,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,120.0,0.2916666666666667,0.5475260416666666,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,135.0,0.2916666666666667,0.509765625,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,165.0,0.2916666666666667,0.4993489583333332,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,180.0,0.2916666666666667,0.5410156250000003,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,195.0,0.2916666666666667,0.569661458333333,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,210.0,0.2916666666666667,0.6184895833333333,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,225.0,0.2916666666666667,0.655598958333333,255.0,0.25,0.46158854166666674,0.041666666666666685
3.5,4.5,150.0,240.0,0.25,0.6699218749999997,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,255.0,0.25,0.6660156249999998,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,270.0,0.25,0.669270833333333,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,285.0,0.25,0.6432291666666665,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,300.0,0.25,0.6236979166666666,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,315.0,0.25,0.5917968749999997,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,330.0,0.25,0.547526041666667,270.0,0.25,0.46158854166666674,0.0
3.5,4.5,150.0,345.0,0.25,0.49479166666666663,270.0,0.25,0.46158854166666674,0.0
3.5,4.0,150.0,15.0,0.16666666666666666,0.5585937500000001,300.0,0.16666666666666666,0.5240885416666666,0.0
3.5,4.0,150.0,30.0,0.25,0.6074218749999999,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,45.0,0.2916666666666667,0.6360677083333333,255.0,0.16666666666666666,0.5240885416666666,0.12500000000000003
3.5,4.0,150.0,60.0,0.2916666666666667,0.6542968750000002,255.0,0.16666666666666666,0.5240885416666666,0.12500000000000003
3.5,4.0,150.0,75.0,0.25,0.6536458333333334,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,90.0,0.25,0.6516927083333331,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,105.0,0.25,0.6282552083333331,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,120.0,0.25,0.5970052083333334,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,135.0,0.25,0.5638020833333334,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,165.0,0.25,0.5657552083333331,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,180.0,0.25,0.611979166666667,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,195.0,0.25,0.6458333333333333,270.0,0.16666666666666666,0.5240885416666666,0.08333333333333334
3.5,4.0,150.0,210.0,0.4583333333333333,0.6966145833333335,195.0,0.16666666666666666,0.5240885416666666,0.29166666666666663
3.5,4.0,150.0,225.0,0.4583333333333333,0.7233072916666664,195.0,0.16666666666666666,0.5240885416666666,0.29166666666666663
3.5,4.0,150.0,240.0,0.4583333333333333,0.7415364583333329,180.0,0.16666666666666666,0.5240885416666666,0.29166666666666663
3.5,4.0,150.0,255.0,0.16666666666666666,0.7408854166666665,300.0,0.16666666666666666,0.5240885416666666,0.0
3.5,4.0,150.0,270.0,0.16666666666666666,0.7389322916666665,300.0,0.16666666666666666,0.5240885416666666,0.0
3.5,4.0,150.0,285.0,0.16666666666666666,0.7122395833333331,300.0,0.16666666666666666,0.5240885416666666,0.0
3.5,4.0,150.0,300.0,0.16666666666666666,0.6894531249999999,300.0,0.16666666666666666,0.5240885416666666,0.0
3.5,4.0,150.0,315.0,0.16666666666666666,0.6575520833333335,300.0,0.16666666666666666,0.5240885416666666,0.0
3.5,4.0,150.0,330.0,0.16666666666666666,0.6171875000000001,300.0,0.16666666666666666,0.5240885416666666,0.0
3.5,4.0,150.0,345.0,0.16666666666666666,0.5618489583333334,300.0,0.16666666666666666,0.5240885416666666,0.0
3.0,4.5,150.0,15.0,0.2916666666666667,0.5494791666666666,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,30.0,0.2916666666666667,0.5944010416666669,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,45.0,0.2916666666666667,0.6250000000000001,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,60.0,0.2916666666666667,0.6380208333333338,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,75.0,0.2916666666666667,0.6386718750000002,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,90.0,0.2916666666666667,0.6236979166666671,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,105.0,0.2916666666666667,0.6035156250000001,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,120.0,0.2916666666666667,0.5729166666666665,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,135.0,0.2916666666666667,0.5410156249999998,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,165.0,0.2916666666666667,0.5410156249999999,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,180.0,0.2916666666666667,0.5787760416666667,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,195.0,0.2916666666666667,0.6249999999999999,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,210.0,0.2916666666666667,0.665364583333333,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,225.0,0.2916666666666667,0.7031249999999994,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,240.0,0.2916666666666667,0.7213541666666663,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,255.0,0.2916666666666667,0.7213541666666662,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,270.0,0.2916666666666667,0.7070312499999998,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,285.0,0.2916666666666667,0.6933593749999996,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,300.0,0.2916666666666667,0.665364583333333,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,315.0,0.2916666666666667,0.6380208333333333,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,330.0,0.2916666666666667,0.5983072916666667,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,150.0,345.0,0.2916666666666667,0.55078125,255.0,0.2916666666666667,0.4973958333333335,0.0
3.0,4.5,180.0,15.0,0.2916666666666667,0.5325520833333334,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,30.0,0.2916666666666667,0.5787760416666666,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,45.0,0.2916666666666667,0.6178385416666665,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,60.0,0.2916666666666667,0.6445312500000002,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,75.0,0.2916666666666667,0.6647135416666666,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,90.0,0.2916666666666667,0.6692708333333334,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,105.0,0.2916666666666667,0.6647135416666666,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,120.0,0.2916666666666667,0.6445312499999999,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,135.0,0.2916666666666667,0.6178385416666666,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,150.0,0.2916666666666667,0.5787760416666667,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,165.0,0.2916666666666667,0.5325520833333333,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,195.0,0.2916666666666667,0.5325520833333333,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,210.0,0.2916666666666667,0.5787760416666667,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,225.0,0.2916666666666667,0.6178385416666667,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,240.0,0.2916666666666667,0.6445312500000001,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,255.0,0.2916666666666667,0.6647135416666666,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,270.0,0.2916666666666667,0.6692708333333333,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,285.0,0.2916666666666667,0.6647135416666665,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,300.0,0.2916666666666667,0.6445312500000003,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,315.0,0.2916666666666667,0.6178385416666669,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,330.0,0.2916666666666667,0.5787760416666666,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.5,180.0,345.0,0.2916666666666667,0.5325520833333334,255.0,0.2916666666666667,0.4791666666666668,0.0
3.0,4.0,150.0,15.0,0.2916666666666667,0.6191406250000001,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,30.0,0.2916666666666667,0.6510416666666666,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,45.0,0.2916666666666667,0.6712239583333334,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,60.0,0.2916666666666667,0.6888020833333336,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,75.0,0.2916666666666667,0.6907552083333333,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,90.0,0.2916666666666667,0.681640625,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,105.0,0.2916666666666667,0.6627604166666666,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,120.0,0.2916666666666667,0.6380208333333334,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,135.0,0.2916666666666667,0.6015624999999999,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,165.0,0.2916666666666667,0.6080729166666665,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,180.0,0.2916666666666667,0.6490885416666669,255.0,0.25,0.5677083333333333,0.041666666666666685
3.0,4.0,150.0,195.0,0.4166666666666667,0.6998697916666669,210.0,0.25,0.5677083333333333,0.16666666666666669
3.0,4.0,150.0,210.0,0.5,0.7369791666666664,180.0,0.25,0.5677083333333333,0.25
3.0,4.0,150.0,225.0,0.5,0.7617187499999998,180.0,0.25,0.5677083333333333,0.25
3.0,4.0,150.0,240.0,0.5416666666666666,0.788411458333333,165.0,0.25,0.5677083333333333,0.29166666666666663
3.0,4.0,150.0,255.0,0.5833333333333334,0.7955729166666663,150.0,0.25,0.5677083333333333,0.33333333333333337
