h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops,cam_c_h_m,cam_c_az_deg,joint_visibility_cam_c,unique_contribution_cam_c,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tag_visibility_ratio,detect_rate_cam_a,detect_rate_cam_b,detect_rate_cam_c,detect_rate_front,detect_rate_back,longest_blind_gap_s
3.0,4.5,180.0,23.962488974578182,85.36699980932042,center,102.50207401449337,62.54521736327187,78.76747351331888,0.05574712643678161,0.15689655172413794,1.0,1.0,1.0,1.0,1.0,0.0,5473.15599699099,2.0,nan,75.0,1.0,0.0,112.61986494804043,60.86462762810064,82.61650685182016,0.9568965517241379,0.6982758620689655,0.6206896551724138,0.3620689655172414,0.5948275862068966,0.9396551724137931,0.34694577507350755
3.0,4.5,180.0,23.962488974578182,85.3669998093204,center,100.26971971987749,60.353156650317324,79.16008651088778,0.035403366221706326,0.15496227510156704,1.0,1.0,1.0,1.0,1.0,0.0,2690.983652309659,3.0,nan,105.0,1.0,0.0,112.61986494804043,82.61650685182018,60.86462762810063,0.9652173913043478,0.7043478260869566,0.6173913043478261,0.4,0.6,0.9565217391304348,0.5242416607706171
3.0,4.0,150.0,26.56505117707799,86.26236362979405,center,69.7739373979041,51.517837765659316,49.208503069848646,0.15772357723577235,0.413550135501355,1.0,1.0,1.0,1.0,1.0,0.0,2934.0870783657488,2.0,nan,255.0,1.0,0.0,101.20127956205536,78.79290566366339,78.79290566366339,1.0,0.7317073170731707,0.6829268292682927,0.6178861788617886,0.983739837398374,0.9105691056910569,0.0
3.0,4.0,150.0,26.56505117707799,72.59267994687478,center,98.25442044030528,60.8435716118108,72.67030894673213,0.04093567251461988,0.18771929824561404,1.0,1.0,1.0,1.0,1.0,0.0,8315.310935577927,1.0,nan,75.0,1.0,0.0,101.20127956205536,58.2883801392845,58.2883801392845,1.0,0.7192982456140351,0.6842105263157895,0.42105263157894735,0.5263157894736842,1.0,0.0
3.0,4.0,150.0,26.56505117707799,72.41914683145534,center,105.65409028751777,53.130233408179684,89.8531958952512,0.04715447154471545,0.13062330623306234,1.0,1.0,1.0,1.0,1.0,0.0,2419.796463344979,0.0,nan,60.0,1.0,0.0,101.20127956205536,47.15635695640366,68.89980397590699,1.0,0.7560975609756098,0.6910569105691057,0.5121951219512195,0.5772357723577236,0.959349593495935,0.0
3.0,4.0,150.0,26.56505117707799,72.41914683145534,center,104.94492883434768,54.683881999774236,87.69524055635269,0.0410958904109589,0.14356164383561643,1.0,1.0,1.0,1.0,1.0,0.0,2779.978836766937,2.0,nan,90.0,1.0,0.0,101.20127956205536,68.89980397590698,47.15635695640366,1.0,0.7295081967213115,0.7049180327868853,0.4426229508196721,0.5737704918032787,0.9508196721311475,0.0
4.0,4.5,180.0,33.690067525979785,74.78302729394467,center,85.2565146691943,58.37317166491737,63.9803799364606,0.06202898550724638,0.20695652173913043,1.0,1.0,1.0,1.0,1.0,0.0,1922.1221536803666,1.0,nan,270.0,1.0,0.0,96.73292132685961,63.80808027748721,63.80808027748721,1.0,0.6173913043478261,0.5043478260869565,0.5043478260869565,0.9304347826086956,0.6608695652173913,0.0
4.0,4.5,180.0,33.690067525979785,74.78302729394467,center,107.67182293105927,83.27892253194875,69.18749997997243,0.06635349383440986,0.20493247210804463,1.0,1.0,1.0,1.0,1.0,0.0,10285.879243991267,2.0,nan,90.0,1.0,0.0,96.73292132685961,63.80808027748721,63.80808027748721,0.9298245614035088,0.6403508771929824,0.4649122807017544,0.3157894736842105,0.5263157894736842,0.8508771929824561,1.2331854136644211
4.0,4.5,180.0,33.690067525979785,74.53221675547321,center,82.38770958909227,58.65009601731407,59.81366645932162,0.09064327485380116,0.30058479532163745,1.0,1.0,1.0,1.0,1.0,0.0,3499.1567394755716,5.0,nan,285.0,1.0,0.0,96.73292132685961,54.129091840716214,72.73463709884386,0.9210526315789473,0.6578947368421053,0.5,0.4473684210526316,0.8859649122807017,0.6228070175438597,0.35278948640401386
4.0,4.5,180.0,33.690067525979785,74.53221675547323,center,85.41126515503335,61.05367243942447,63.5160907030094,0.08289855072463768,0.29391304347826086,1.0,1.0,1.0,1.0,1.0,0.0,4850.972923056906,4.0,nan,255.0,1.0,0.0,96.73292132685961,72.73463709884386,54.12909184071621,0.9739130434782609,0.6347826086956522,0.5652173913043478,0.4434782608695652,0.8869565217391304,0.6956521739130435,0.1748595865149247
