h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops
2.5,2.5,90,30.96375653207352,60.00000000000001,center,131.86760058146524,87.98690523106181,98.88885801182454,0.02099781622711238,0.11137241726860407,1.0,1.0,1.0,1.0,1.0,0.0,25875.03756720752,13.0
2.5,2.5,120,30.96375653207352,75.52248781407008,center,159.92755511655565,87.74054884182708,131.60446604835852,0.04331807524840907,0.14932455063079156,1.0,1.0,1.0,1.0,1.0,0.0,102255.76278603595,15.0
2.5,2.5,150,30.96375653207352,86.15903428374189,center,117.57700321912506,75.76131249540947,93.41561483190083,0.06839729119638827,0.20660270880361173,1.0,1.0,1.0,1.0,1.0,0.0,48775.286005464855,8.0
2.5,2.5,180,30.96375653207352,90.0,center,103.31443048122851,67.22643419142942,81.51465084456834,0.06247894914112496,0.20034804086673402,1.0,1.0,1.0,1.0,1.0,0.0,7543.034598216013,6.0
2.5,3.0,60,26.56505117707799,45.17707757596975,center,110.86930747555748,69.16291670149866,86.82347513865072,0.013165266106442577,0.08464985994397758,1.0,1.0,1.0,1.0,1.0,0.0,9511.18335974328,9.0
2.5,3.0,90,26.56505117707799,65.80546288570928,center,100.01723919693099,62.055658153124725,80.23380477812589,0.024873407155973512,0.13482833453897947,1.0,1.0,1.0,1.0,1.0,0.0,5640.898236897172,3.0
2.5,3.0,120,26.56505117707799,83.41055797302093,center,112.87626908241617,67.89829219636903,93.28694925758766,0.03940415964024733,0.1503653738055087,1.0,1.0,1.0,1.0,1.0,0.0,7303.110171703672,11.0
2.5,3.0,150,26.56505117707799,95.81178297924637,center,97.95231436964606,54.73846622917726,82.16542261053587,0.06543520850825636,0.20095158130422613,1.0,1.0,1.0,1.0,1.0,0.0,4044.4871644473046,1.0
2.5,3.0,180,26.56505117707799,100.38885781546962,center,88.06064756209742,52.50724235755823,72.45553294916328,0.06997476871320438,0.21553125876086346,1.0,1.0,1.0,1.0,0.8,0.0,2510.2259343014202,4.0
2.5,3.5,60,23.198590513648185,48.01631881379589,center,113.12565466410942,62.3251108095002,90.08647446992909,0.016830847171404446,0.1039121868843231,1.0,1.0,1.0,1.0,1.0,0.0,39770.04510172608,7.0
